bank_account,location_type,age_of_respondent,education_level,job_type
No,Rural,32,Secondary education,Farming and Fishing
Yes,Urban,39,Secondary education,Formally employed Government
No,Rural,38,Secondary education,Farming and Fishing
No,Rural,88,No formal education,Farming and Fishing
No,Rural,72,No formal education,Informally employed
No,Rural,36,Secondary education,Informally employed
No,Urban,28,Primary education,Informally employed
No,Rural,18,No formal education,Farming and Fishing
No,Rural,70,No formal education,Government Dependent
No,Rural,18,Primary education,Remittance Dependent
No,Urban,26,Primary education,Formally employed Private
No,Urban,70,Primary education,Farming and Fishing
No,Urban,51,Primary education,Farming and Fishing
No,Urban,20,No formal education,Remittance Dependent
No,Urban,26,Secondary education,Remittance Dependent
Yes,Urban,49,Tertiary education,Formally employed Government
Yes,Urban,65,Primary education,Self employed
Yes,Urban,30,Secondary education,Formally employed Private
Yes,Rural,74,Vocational/Specialised training,Remittance Dependent
No,Rural,36,Primary education,Informally employed
Yes,Urban,28,Tertiary education,Formally employed Private
No,Urban,22,Vocational/Specialised training,Informally employed
No,Urban,17,Secondary education,Remittance Dependent
No,Urban,58,Primary education,Self employed
No,Urban,34,Primary education,Informally employed
No,Rural,18,Primary education,Remittance Dependent
No,Rural,20,Primary education,Remittance Dependent
No,Rural,85,Primary education,Remittance Dependent
No,Urban,26,Primary education,Self employed
No,Rural,25,No formal education,Farming and Fishing
Yes,Rural,26,Secondary education,Farming and Fishing
No,Rural,30,Primary education,Self employed
No,Urban,38,No formal education,Informally employed
Yes,Urban,17,Primary education,Remittance Dependent
No,Rural,47,Secondary education,Informally employed
No,Rural,50,Primary education,Informally employed
No,Rural,16,Primary education,Remittance Dependent
No,Rural,24,Secondary education,Self employed
No,Rural,35,Primary education,Formally employed Private
No,Urban,34,No formal education,Remittance Dependent
Yes,Urban,42,Primary education,Self employed
No,Urban,40,Primary education,Self employed
Yes,Rural,37,Primary education,Farming and Fishing
No,Rural,18,Primary education,Remittance Dependent
Yes,Rural,19,Secondary education,Other Income
No,Urban,27,Primary education,Informally employed
No,Rural,90,No formal education,Government Dependent
No,Rural,20,No formal education,Informally employed
No,Rural,24,Secondary education,Informally employed
Yes,Urban,67,Primary education,Farming and Fishing
Yes,Rural,47,Primary education,Self employed
No,Rural,64,Secondary education,Farming and Fishing
No,Urban,64,Primary education,Farming and Fishing
Yes,Rural,40,Secondary education,Farming and Fishing
No,Rural,50,No formal education,Farming and Fishing
No,Urban,29,Primary education,Informally employed
No,Rural,35,Primary education,Informally employed
No,Rural,45,Secondary education,Self employed
No,Rural,88,Other/Dont know/RTA,Other Income
Yes,Rural,37,Vocational/Specialised training,Farming and Fishing
No,Rural,22,Vocational/Specialised training,Formally employed Private
Yes,Urban,21,Secondary education,Informally employed
No,Rural,52,Vocational/Specialised training,Informally employed
No,Rural,60,No formal education,Farming and Fishing
No,Rural,47,Primary education,Self employed
No,Rural,45,Primary education,Self employed
No,Urban,27,Primary education,Informally employed
No,Urban,30,Secondary education,Remittance Dependent
No,Rural,17,Primary education,Informally employed
No,Rural,56,Primary education,Informally employed
Yes,Urban,20,Tertiary education,Remittance Dependent
No,Urban,36,Secondary education,Farming and Fishing
Yes,Urban,38,Secondary education,Self employed
No,Rural,35,Primary education,Informally employed
No,Rural,17,Secondary education,Remittance Dependent
Yes,Urban,35,Secondary education,Informally employed
No,Rural,32,No formal education,Informally employed
Yes,Urban,25,Secondary education,Formally employed Government
No,Rural,60,No formal education,Farming and Fishing
No,Rural,45,No formal education,Farming and Fishing
Yes,Urban,42,Secondary education,Informally employed
No,Urban,17,Secondary education,Remittance Dependent
No,Rural,28,Secondary education,Farming and Fishing
Yes,Urban,18,Vocational/Specialised training,Self employed
No,Rural,42,Primary education,Informally employed
No,Rural,47,Primary education,Remittance Dependent
No,Urban,42,Primary education,Informally employed
Yes,Rural,56,Secondary education,Farming and Fishing
No,Rural,58,No formal education,Remittance Dependent
No,Urban,21,Primary education,Informally employed
No,Rural,22,Secondary education,Remittance Dependent
No,Urban,37,Secondary education,Self employed
No,Urban,55,Primary education,Farming and Fishing
No,Urban,40,Primary education,Remittance Dependent
Yes,Urban,42,Vocational/Specialised training,Self employed
No,Rural,20,Secondary education,Remittance Dependent
No,Rural,44,No formal education,Farming and Fishing
No,Urban,40,Primary education,Other Income
No,Urban,30,Primary education,Remittance Dependent
No,Rural,70,Primary education,Informally employed
No,Rural,60,No formal education,Informally employed
No,Rural,65,Primary education,Self employed
No,Urban,30,No formal education,Self employed
No,Rural,68,Primary education,Farming and Fishing
Yes,Rural,75,Secondary education,Self employed
No,Urban,55,Primary education,Farming and Fishing
No,Rural,48,Secondary education,Self employed
No,Rural,77,No formal education,Formally employed Private
Yes,Rural,35,Vocational/Specialised training,Formally employed Government
No,Urban,23,Secondary education,Informally employed
No,Rural,61,Primary education,Farming and Fishing
No,Rural,35,Secondary education,Formally employed Private
No,Rural,18,Secondary education,Remittance Dependent
No,Rural,21,Primary education,Remittance Dependent
No,Urban,38,Primary education,Farming and Fishing
No,Urban,26,Secondary education,Formally employed Private
No,Urban,23,Primary education,Informally employed
No,Rural,53,Secondary education,Informally employed
Yes,Urban,38,Tertiary education,Formally employed Government
Yes,Rural,44,Secondary education,Formally employed Government
No,Rural,26,Secondary education,Informally employed
No,Urban,23,Secondary education,Remittance Dependent
Yes,Rural,28,Tertiary education,Formally employed Private
No,Rural,84,Primary education,Remittance Dependent
No,Rural,85,No formal education,Farming and Fishing
No,Rural,72,Primary education,Farming and Fishing
No,Rural,18,Primary education,Informally employed
Yes,Urban,29,Tertiary education,Formally employed Private
No,Urban,82,No formal education,Remittance Dependent
No,Rural,40,Primary education,Farming and Fishing
No,Rural,48,No formal education,Farming and Fishing
No,Rural,30,Primary education,Farming and Fishing
Yes,Urban,35,Tertiary education,Formally employed Government
No,Urban,25,Primary education,Formally employed Private
No,Rural,47,Primary education,Farming and Fishing
No,Rural,26,Primary education,Informally employed
No,Rural,84,Primary education,Remittance Dependent
No,Rural,38,Secondary education,Informally employed
No,Rural,19,Secondary education,Informally employed
No,Rural,40,Primary education,Farming and Fishing
No,Urban,26,Primary education,Remittance Dependent
No,Rural,26,Secondary education,Farming and Fishing
No,Rural,64,Primary education,Farming and Fishing
No,Rural,64,Primary education,Farming and Fishing
Yes,Rural,74,No formal education,Farming and Fishing
No,Urban,53,Primary education,Farming and Fishing
No,Rural,36,Primary education,Informally employed
No,Urban,43,Secondary education,Formally employed Private
No,Urban,28,Primary education,Informally employed
No,Rural,40,No formal education,Informally employed
No,Rural,44,Secondary education,Farming and Fishing
No,Rural,18,Secondary education,Remittance Dependent
No,Rural,60,No formal education,Farming and Fishing
No,Urban,70,No formal education,Remittance Dependent
No,Urban,28,Secondary education,Remittance Dependent
No,Rural,30,Primary education,Informally employed
Yes,Rural,56,Vocational/Specialised training,Formally employed Government
No,Rural,30,Primary education,Informally employed
No,Rural,30,No formal education,Informally employed
No,Rural,35,Secondary education,Farming and Fishing
No,Rural,38,Primary education,Farming and Fishing
No,Rural,22,No formal education,Farming and Fishing
No,Rural,38,Primary education,Farming and Fishing
No,Rural,49,Secondary education,Farming and Fishing
No,Urban,71,No formal education,Informally employed
No,Urban,56,Vocational/Specialised training,Farming and Fishing
No,Rural,60,No formal education,Remittance Dependent
Yes,Urban,27,Secondary education,Remittance Dependent
Yes,Rural,52,No formal education,Self employed
Yes,Rural,54,Secondary education,Self employed
Yes,Rural,64,Primary education,Farming and Fishing
No,Urban,28,Primary education,Formally employed Private
Yes,Rural,50,Tertiary education,Formally employed Government
No,Rural,43,No formal education,Farming and Fishing
Yes,Rural,27,Vocational/Specialised training,Self employed
No,Rural,69,No formal education,Farming and Fishing
No,Rural,29,Primary education,Self employed
Yes,Urban,30,Primary education,Informally employed
No,Urban,25,Secondary education,Informally employed
No,Urban,89,Primary education,Government Dependent
No,Rural,20,No formal education,Farming and Fishing
No,Rural,25,No formal education,Farming and Fishing
No,Rural,17,Secondary education,Remittance Dependent
Yes,Rural,40,Secondary education,Formally employed Government
Yes,Urban,43,Primary education,Formally employed Private
No,Rural,19,Vocational/Specialised training,Remittance Dependent
No,Rural,20,No formal education,Informally employed
No,Rural,55,No formal education,Informally employed
No,Rural,95,Primary education,Remittance Dependent
No,Rural,30,Primary education,Remittance Dependent
No,Rural,56,No formal education,Farming and Fishing
No,Rural,46,Secondary education,Informally employed
No,Rural,20,No formal education,Farming and Fishing
Yes,Rural,42,Vocational/Specialised training,Formally employed Government
No,Rural,35,Primary education,Farming and Fishing
No,Rural,24,Primary education,Informally employed
Yes,Urban,40,Primary education,Self employed
No,Rural,32,Tertiary education,Formally employed Government
No,Rural,24,Secondary education,Informally employed
Yes,Urban,21,Tertiary education,Remittance Dependent
No,Rural,19,Secondary education,Remittance Dependent
No,Rural,70,Primary education,Farming and Fishing
No,Rural,58,Secondary education,Farming and Fishing
No,Rural,32,Primary education,Farming and Fishing
Yes,Urban,45,Vocational/Specialised training,Self employed
No,Urban,33,Primary education,Self employed
No,Urban,69,Primary education,Informally employed
No,Urban,19,Secondary education,Self employed
Yes,Rural,54,Primary education,Farming and Fishing
No,Rural,21,Secondary education,Remittance Dependent
No,Rural,29,Primary education,Farming and Fishing
No,Rural,27,Primary education,Farming and Fishing
No,Rural,16,Secondary education,Remittance Dependent
No,Urban,21,Secondary education,Remittance Dependent
Yes,Urban,47,Primary education,Formally employed Private
No,Urban,21,Vocational/Specialised training,Remittance Dependent
No,Urban,20,Secondary education,Remittance Dependent
No,Rural,26,Primary education,Informally employed
No,Urban,23,Tertiary education,Remittance Dependent
No,Urban,35,No formal education,Self employed
No,Rural,28,No formal education,Farming and Fishing
No,Rural,46,Secondary education,Farming and Fishing
No,Rural,28,Secondary education,Formally employed Private
